file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std
623_Rhythm_blues.wav,0.065,0.096,1.962,3.15,0.241,0.077,0.083,0.048,21.186,14.724,17.652,16.925,17.669,18.912,34.791,5.67,4.236,4.751,4.736,3.779,3.141,2.597,-115.547,26.7,-25.463,24.248,-5.848,-7.603,-9.655,-7.252,-3.97,9.542,-11.658,0.646,-8.771,-1.058,-8.138,-1.315,-5.207,2.054,-7.385,-0.085,73.167,30.525,21.233,20.592,9.744,11.727,9.669,9.395,7.67,9.308,8.287,7.884,6.229,7.784,7.979,10.653,9.109,10.956,10.15,9.24
625_Vocal.wav,0.104,0.131,0.979,-0.021,0.056,0.019,0.129,0.022,21.336,15.525,17.906,18.962,18.021,18.862,27.443,3.635,4.0,4.404,3.296,2.412,3.296,1.73,-123.697,103.322,22.261,25.792,5.943,19.934,9.24,5.534,6.449,-8.339,-1.907,-9.986,-5.384,1.281,-11.122,-7.354,-3.26,-2.899,-7.372,1.317,22.341,16.363,9.152,9.693,6.605,5.916,5.078,6.724,5.257,6.058,5.683,6.283,5.109,5.682,5.934,6.959,5.592,6.933,6.118,5.942
627_Techno.wav,0.037,0.056,2.453,5.747,0.039,0.045,0.047,0.03,18.073,14.096,16.07,14.688,16.696,20.973,35.762,5.475,4.256,4.164,2.967,3.783,5.055,7.076,-312.698,162.582,-25.634,22.076,9.284,6.09,9.834,1.603,4.415,3.071,1.614,1.525,1.294,3.241,1.188,0.691,2.062,-0.151,0.694,0.457,110.28,56.739,36.749,25.039,26.721,13.633,11.0,11.186,9.54,6.302,7.266,6.144,4.104,4.932,6.311,5.71,5.067,4.518,3.61,3.52
628_Pop_music.wav,0.201,0.257,1.13,0.321,0.165,0.1,0.247,0.072,21.124,14.966,18.251,20.078,19.201,17.393,30.232,6.669,4.912,4.922,4.589,4.558,3.283,2.648,-33.559,33.028,7.872,9.339,9.066,9.475,8.451,10.458,3.758,10.489,5.134,9.695,0.123,5.215,-1.984,2.953,-5.491,1.44,-1.153,3.727,84.535,24.774,17.037,18.486,16.924,13.728,10.029,11.061,12.279,10.631,9.812,9.463,10.676,12.053,9.869,9.901,11.136,9.157,7.893,9.299
629_Techno.wav,0.198,0.264,1.391,0.973,0.049,0.06,0.243,0.104,16.586,14.549,15.77,15.44,15.253,15.497,31.344,3.576,3.698,3.94,2.849,2.639,2.515,1.627,-144.696,92.825,47.021,29.966,16.955,21.346,8.551,13.028,4.997,11.649,0.412,8.3,2.793,7.589,1.057,2.194,-1.64,2.76,-2.237,2.943,60.597,45.957,15.139,10.514,9.046,7.024,7.431,7.191,7.046,6.376,5.885,5.074,6.141,5.572,4.773,4.475,4.817,4.257,5.179,4.579
630_Rhythm_blues.wav,0.316,0.398,0.723,-0.336,0.074,0.055,0.386,0.097,19.842,15.32,15.546,16.482,18.642,18.689,58.333,4.312,3.963,3.479,2.609,2.683,2.1,7.208,-31.255,97.625,20.562,48.452,-0.133,29.755,-16.122,15.612,-7.184,19.348,-2.681,7.085,-10.32,2.876,-2.775,6.758,-7.377,1.953,-10.425,3.918,41.694,33.281,15.671,12.659,9.952,8.863,8.503,7.028,7.204,7.476,6.979,6.372,5.82,6.006,5.668,6.062,5.723,6.697,7.31,5.161
631_Rock_music.wav,0.323,0.396,0.605,-0.561,0.071,0.021,0.388,0.08,22.701,14.012,14.828,14.781,14.718,18.187,34.896,4.731,3.764,3.231,2.417,2.032,2.144,3.717,9.986,102.139,-35.58,56.435,6.869,11.683,2.062,10.338,4.169,7.627,-1.562,5.534,-3.965,-3.248,-8.601,-4.391,-9.632,2.353,-5.095,-3.136,25.124,19.587,16.238,8.46,5.586,4.734,4.29,4.069,3.974,3.395,3.452,3.505,3.729,3.572,3.803,3.436,3.354,4.006,3.666,3.828
632_Pop_music.wav,0.278,0.351,1.035,0.064,0.06,0.02,0.342,0.078,25.465,18.183,22.656,21.726,23.079,22.93,35.451,4.604,4.042,4.393,4.03,3.398,3.182,2.796,-53.391,120.556,4.569,56.777,-2.155,12.195,-7.174,5.674,1.773,0.621,-4.351,3.858,-7.467,-0.589,-3.859,-1.319,-6.899,-4.983,-14.777,2.699,51.559,19.321,14.249,12.026,8.747,6.92,6.304,7.886,7.907,7.756,6.364,6.61,7.053,8.251,9.898,8.274,5.874,6.601,8.528,10.621
633_Techno.wav,0.153,0.199,1.22,0.568,0.092,0.085,0.191,0.058,17.393,16.004,18.391,16.097,15.978,15.648,31.524,4.587,4.865,4.752,4.532,4.448,3.839,2.716,-121.09,112.17,31.596,15.741,3.358,11.008,-0.989,5.844,-3.263,4.502,-0.453,7.104,0.994,5.337,-0.154,2.898,-3.495,1.862,-1.804,1.067,102.191,63.499,38.97,24.205,15.474,13.218,10.211,7.154,7.402,5.715,7.282,6.596,7.715,5.203,6.129,4.836,4.761,4.825,5.44,5.707
634_Techno.wav,0.193,0.241,0.912,-0.133,0.104,0.037,0.239,0.027,18.934,14.238,17.677,15.93,16.175,15.055,31.09,5.914,4.089,4.682,3.285,2.396,1.522,1.674,-8.199,64.754,8.425,26.696,10.058,13.761,-1.146,6.465,-0.148,7.398,0.056,9.241,2.507,7.787,-2.91,-0.148,-6.812,0.169,-4.481,2.776,29.466,7.826,8.45,5.578,4.628,5.259,5.827,5.008,4.153,4.43,4.826,4.404,5.282,7.065,6.697,5.259,5.403,6.989,6.293,9.268
635_Rhythm_blues.wav,0.198,0.248,0.952,-0.066,0.131,0.032,0.246,0.034,15.737,14.4,19.051,20.953,20.142,17.848,36.919,3.509,4.053,5.084,4.381,3.657,2.785,2.377,5.351,80.335,-7.262,15.393,-9.575,5.268,-4.681,8.157,-0.004,4.983,-4.489,4.614,-7.509,5.42,-7.095,5.302,-6.164,4.499,-7.082,3.022,27.749,15.611,10.198,13.346,10.052,8.348,8.359,8.048,7.302,6.868,6.62,9.169,9.93,8.38,7.566,6.367,5.876,7.102,6.518,7.509
636_Vocal.wav,0.088,0.12,1.191,0.768,0.13,0.06,0.11,0.048,20.782,14.547,17.263,16.31,17.662,17.318,33.756,5.703,3.952,4.624,4.026,3.034,2.656,2.869,-107.117,74.019,-19.603,18.644,2.079,8.176,-1.928,5.623,-4.901,4.35,-4.355,3.876,-2.756,4.415,-1.029,1.544,-7.677,-2.389,-5.685,-2.62,79.103,32.851,23.372,16.172,15.521,11.282,18.037,13.002,12.374,14.302,13.406,9.061,10.828,11.388,9.554,9.368,6.374,6.666,6.73,6.046
637_Pop_music.wav,0.27,0.354,1.025,0.219,0.097,0.059,0.334,0.119,16.613,13.621,16.811,16.31,17.532,18.197,54.942,4.73,4.267,4.715,3.57,3.126,3.771,6.291,-21.14,78.195,1.945,29.758,7.057,10.374,4.464,13.041,1.022,12.982,-7.828,5.627,0.018,0.029,-9.747,0.763,-4.846,1.947,-1.746,11.232,47.473,24.609,24.859,19.353,19.69,10.967,11.687,12.321,11.032,9.487,8.514,9.341,8.69,6.868,10.118,9.238,9.685,9.122,10.16,12.0
641_Vocal.wav,0.085,0.11,1.332,0.696,0.147,0.028,0.106,0.027,17.098,15.881,18.453,17.548,17.125,17.451,33.616,4.74,3.594,3.39,3.003,2.536,2.207,1.804,-61.734,76.645,-11.308,18.05,4.939,-2.365,-8.291,10.72,-5.839,7.008,-2.871,5.775,-4.289,5.132,0.15,4.768,-4.695,-4.515,-4.346,-1.016,22.227,10.988,13.293,9.701,9.492,7.377,7.009,6.751,6.571,6.317,6.263,5.157,5.97,7.822,6.246,6.096,5.35,5.49,5.917,5.183
642_Rock_music.wav,0.162,0.198,0.692,-0.475,0.078,0.017,0.197,0.019,21.076,11.821,13.516,16.983,17.204,23.247,57.652,5.356,2.951,3.445,2.926,2.632,4.426,4.474,-55.784,162.391,-55.251,71.46,-26.43,20.52,-24.458,19.808,1.939,1.337,-2.2,1.073,-3.387,-5.883,-6.511,-4.28,-5.583,-4.801,-1.169,1.242,17.162,14.678,8.57,6.288,7.78,9.138,7.131,7.021,7.839,6.349,6.26,6.097,5.747,5.294,5.987,5.839,5.601,5.334,5.335,5.339
643_Pop_music.wav,0.063,0.078,0.839,-0.258,0.142,0.023,0.078,0.007,24.218,13.72,21.617,20.773,23.435,25.288,35.617,6.842,3.386,5.467,4.173,4.215,4.999,2.442,-108.647,81.226,-35.494,25.571,-18.767,6.288,-2.065,-0.143,-4.098,9.358,0.12,3.965,-7.733,-4.186,-11.398,-2.68,-7.683,8.886,1.97,10.157,16.503,10.833,14.383,12.736,10.683,5.716,7.001,6.836,7.012,7.44,6.943,6.02,6.17,6.48,5.934,6.138,5.987,6.371,8.171,10.443
643_Pop_music.wav,0.063,0.078,0.839,-0.258,0.142,0.023,0.078,0.007,24.218,13.72,21.617,20.773,23.435,25.288,35.617,6.842,3.386,5.467,4.173,4.215,4.999,2.442,-108.647,81.226,-35.494,25.571,-18.767,6.288,-2.065,-0.143,-4.098,9.358,0.12,3.965,-7.733,-4.186,-11.398,-2.68,-7.683,8.886,1.97,10.157,16.503,10.833,14.383,12.736,10.683,5.716,7.001,6.836,7.012,7.44,6.943,6.02,6.17,6.48,5.934,6.138,5.987,6.371,8.171,10.443
645_Rhythm_blues.wav,0.15,0.204,1.696,1.674,0.132,0.046,0.193,0.067,17.758,15.54,18.465,19.71,19.621,18.2,31.1,6.465,5.041,4.898,3.533,3.338,3.63,2.589,-62.496,77.326,-48.823,-5.913,-8.4,-9.646,-24.543,-8.835,-17.732,-4.753,-5.822,-5.655,-4.259,-1.677,-9.589,0.403,-7.243,-1.387,-10.505,-3.324,45.824,32.209,23.951,15.661,14.987,13.811,12.092,11.027,9.475,8.268,8.528,8.173,7.775,7.08,7.443,6.953,7.029,6.386,6.781,7.891
646_Rhythm_blues.wav,0.126,0.159,1.122,0.237,0.12,0.029,0.157,0.027,25.642,14.728,18.054,17.871,16.707,18.582,32.249,4.539,3.857,3.593,3.143,2.401,3.183,2.655,-36.751,93.058,-25.702,31.18,0.835,1.813,-0.951,1.964,-11.138,0.054,-9.453,-0.358,-12.281,-5.719,-4.997,-1.236,-7.479,-0.614,-3.379,2.985,25.08,19.806,15.332,9.605,7.325,7.323,8.449,5.978,4.796,6.195,5.619,4.963,5.453,4.95,5.64,5.037,4.35,4.976,4.557,5.019
646_Rhythm_blues.wav,0.126,0.159,1.122,0.237,0.12,0.029,0.157,0.027,25.642,14.728,18.054,17.871,16.707,18.582,32.249,4.539,3.857,3.593,3.143,2.401,3.183,2.655,-36.751,93.058,-25.702,31.18,0.835,1.813,-0.951,1.964,-11.138,0.054,-9.453,-0.358,-12.281,-5.719,-4.997,-1.236,-7.479,-0.614,-3.379,2.985,25.08,19.806,15.332,9.605,7.325,7.323,8.449,5.978,4.796,6.195,5.619,4.963,5.453,4.95,5.64,5.037,4.35,4.976,4.557,5.019
650_Techno.wav,0.131,0.169,1.274,0.548,0.163,0.031,0.164,0.039,16.235,16.341,18.223,18.684,18.654,17.511,62.189,5.827,4.619,4.372,3.422,3.101,2.221,3.564,-34.16,69.167,-50.668,20.969,-23.733,14.166,-16.228,8.923,-20.545,-0.07,-14.494,10.028,-7.604,10.243,-5.164,7.281,-8.937,3.325,-12.009,2.682,28.362,19.183,15.467,10.406,10.892,9.19,6.554,7.839,9.263,8.695,11.12,9.923,10.075,9.623,8.637,8.26,7.293,10.992,10.051,9.76
651_Hip_hop_music.wav,0.224,0.276,0.589,-0.555,0.121,0.05,0.269,0.06,20.282,14.219,17.577,17.791,18.298,17.871,34.507,4.854,4.327,4.398,3.726,3.25,2.708,3.874,-11.575,64.616,-16.806,22.668,6.405,12.071,-3.121,13.023,-4.136,5.698,-0.277,11.043,1.546,5.397,-1.055,4.943,-5.764,0.852,1.282,6.434,36.964,17.408,20.132,15.55,13.819,12.241,10.676,12.217,10.758,8.813,8.811,8.16,7.476,7.726,8.502,8.007,9.367,7.662,7.18,10.26
652_Techno.wav,0.282,0.419,1.025,0.643,0.061,0.031,0.416,0.047,17.819,11.959,12.351,13.189,14.674,25.12,31.974,4.341,3.227,2.982,2.604,2.281,4.239,2.159,-39.141,169.618,-48.368,51.476,23.845,-3.321,23.029,15.38,-9.411,20.083,-0.044,1.769,2.55,-2.274,-3.92,6.244,-6.026,3.49,1.096,-1.379,65.753,43.514,15.036,11.404,10.826,8.955,7.871,7.008,5.701,5.59,6.429,5.325,7.619,6.393,5.575,4.583,4.674,4.14,4.29,5.12
653_Techno.wav,0.014,0.019,2.44,4.247,0.133,0.035,0.018,0.006,12.318,10.298,14.167,15.489,15.32,15.112,31.474,3.287,3.158,3.195,2.49,1.971,1.409,1.871,-235.65,88.023,17.145,9.434,-9.759,-1.151,-9.623,-0.156,-7.471,-0.14,-12.412,0.271,-1.416,2.801,-3.446,4.191,-4.074,1.105,-2.817,1.546,57.794,14.637,8.634,6.89,5.727,4.24,4.486,3.929,3.992,4.122,4.292,3.483,3.784,3.962,3.824,3.684,3.784,3.482,3.593,3.234
654_Techno.wav,0.202,0.304,1.876,3.202,0.056,0.089,0.262,0.173,29.447,12.665,15.665,16.947,16.614,14.811,31.291,7.548,4.439,5.394,5.49,4.148,2.445,4.731,-218.949,92.935,5.496,0.202,-17.059,-4.772,-11.658,-2.916,-5.113,3.648,1.428,2.931,0.348,5.823,3.988,6.105,2.514,5.654,2.624,4.974,173.554,87.386,29.168,24.188,28.522,19.437,19.307,14.261,13.884,11.182,10.179,9.682,7.791,7.473,6.791,9.218,5.855,5.442,6.799,7.846
655_Techno.wav,0.115,0.15,1.3,0.687,0.199,0.054,0.147,0.029,17.769,12.58,15.161,16.0,17.596,23.236,65.28,5.661,3.556,3.825,2.768,2.805,4.776,3.245,-32.79,92.107,-57.58,28.275,-38.528,30.297,-29.595,12.518,-40.516,18.267,-16.272,17.497,-14.537,4.35,-7.452,-1.747,-8.59,-6.989,1.989,-3.743,24.873,24.843,12.238,13.011,9.104,9.279,8.1,8.518,8.873,7.626,9.559,8.644,8.966,7.714,7.321,8.252,9.118,8.381,7.805,9.286
657_Techno.wav,0.072,0.124,1.419,2.016,0.087,0.112,0.094,0.081,18.499,13.044,14.93,14.819,14.762,15.832,30.952,8.689,5.484,5.097,4.148,3.027,4.247,6.552,-305.83,56.593,1.261,4.967,-2.16,7.021,5.078,17.436,9.132,9.744,10.147,9.191,-0.255,7.411,3.255,4.79,3.242,7.477,1.771,6.35,142.684,56.434,30.657,25.585,22.803,15.838,12.179,12.38,9.839,11.886,8.667,7.764,10.825,7.206,7.449,9.056,7.726,8.687,8.667,8.184
661_Pop_music.wav,0.144,0.189,1.417,1.005,0.158,0.089,0.182,0.051,23.077,18.259,21.182,18.347,16.254,16.619,32.535,5.566,4.966,5.186,4.353,2.765,2.631,3.095,-39.927,52.81,1.878,13.548,-12.729,7.465,-5.866,0.95,-8.553,-1.533,-7.867,-0.093,-10.786,-6.553,-10.118,-5.66,-7.87,-2.185,-7.577,-1.91,49.995,29.31,24.405,13.817,14.7,10.867,10.368,10.902,11.051,9.4,8.844,9.294,7.818,7.146,6.793,6.847,7.216,7.351,7.384,6.868
662_Hip_hop_music.wav,0.101,0.14,1.445,1.242,0.201,0.096,0.13,0.05,15.927,16.71,19.503,19.552,21.561,19.815,31.215,4.72,4.674,5.056,5.043,5.474,5.074,2.519,-74.665,40.073,-14.147,6.514,-9.67,-5.403,-7.834,5.04,-4.586,8.878,3.298,5.322,-4.645,-2.863,-5.646,1.26,-7.628,-3.356,-12.376,-1.073,43.645,22.718,28.504,19.753,17.622,16.236,15.809,11.681,10.957,10.007,10.715,10.079,10.182,10.741,8.915,8.103,7.707,7.037,8.186,9.576
663_Pop_music.wav,0.296,0.388,0.524,-0.438,0.213,0.174,0.352,0.161,21.804,9.363,12.649,13.226,15.615,14.868,33.701,6.085,3.371,3.969,2.591,3.357,1.714,2.758,-39.844,27.238,-1.657,32.254,3.683,17.508,2.574,17.091,0.944,5.925,-2.056,10.225,-0.083,6.834,0.471,3.939,-3.136,3.98,0.925,4.507,77.311,39.94,18.361,11.815,8.885,11.496,16.412,13.997,12.718,9.433,9.505,8.331,9.838,8.915,8.671,8.634,8.551,7.571,7.644,7.465
664_Techno.wav,0.21,0.264,1.301,0.64,0.048,0.011,0.265,0.058,22.836,12.681,17.446,16.507,15.973,39.853,30.788,3.644,3.172,3.542,2.726,2.005,9.105,2.374,-121.974,229.132,-53.675,43.092,14.211,-31.589,16.956,-11.443,-13.058,3.705,-15.172,-4.415,-2.753,-3.41,5.629,-5.39,-1.968,1.917,-3.98,0.063,24.935,15.831,18.997,17.752,9.403,7.56,8.194,6.477,5.755,4.851,6.191,4.437,4.326,5.329,4.278,4.536,4.397,4.076,3.997,4.195
664_Techno.wav,0.21,0.264,1.301,0.64,0.048,0.011,0.265,0.058,22.836,12.681,17.446,16.507,15.973,39.853,30.788,3.644,3.172,3.542,2.726,2.005,9.105,2.374,-121.974,229.132,-53.675,43.092,14.211,-31.589,16.956,-11.443,-13.058,3.705,-15.172,-4.415,-2.753,-3.41,5.629,-5.39,-1.968,1.917,-3.98,0.063,24.935,15.831,18.997,17.752,9.403,7.56,8.194,6.477,5.755,4.851,6.191,4.437,4.326,5.329,4.278,4.536,4.397,4.076,3.997,4.195
666_Rhythm_blues.wav,0.099,0.134,1.471,1.127,0.047,0.019,0.127,0.043,20.616,13.537,17.64,18.342,20.966,19.871,37.581,4.251,3.642,3.674,3.168,4.85,2.172,2.768,-142.462,112.834,3.378,34.785,13.062,19.268,1.639,8.092,1.935,10.973,1.897,5.372,-2.572,7.066,0.229,4.989,2.575,9.581,0.347,4.074,27.458,15.554,14.413,13.381,6.259,6.078,6.204,5.095,4.798,4.52,4.319,5.206,5.065,4.456,4.836,5.186,5.113,6.263,5.211,5.025
667_Rhythm_blues.wav,0.134,0.169,1.108,0.226,0.092,0.076,0.167,0.027,23.708,16.942,21.46,20.224,19.048,18.001,33.259,5.026,4.008,4.145,3.512,3.787,3.327,3.186,-90.331,94.506,17.494,27.235,13.717,2.161,-11.051,11.448,-2.962,6.804,-7.893,-2.26,-5.696,-1.128,-3.262,0.396,-4.454,5.881,-6.125,-0.601,39.841,29.975,24.299,15.748,11.931,9.052,9.648,7.13,7.717,7.002,6.324,6.792,5.676,6.754,5.022,6.685,6.265,7.696,7.43,5.917
669_Rock_music.wav,0.098,0.137,1.981,2.81,0.191,0.079,0.123,0.06,24.513,14.513,17.949,19.246,17.674,20.255,31.914,5.663,4.064,4.276,3.019,2.934,3.337,2.989,-63.553,51.785,-6.955,12.763,-9.158,-7.61,9.343,17.006,4.722,6.983,-1.688,6.747,-5.25,2.588,-1.728,4.311,-1.781,6.936,-1.748,6.069,71.031,28.42,15.03,14.329,12.136,9.656,8.819,8.042,6.263,6.261,6.051,5.793,6.213,6.327,6.071,5.621,6.139,6.453,7.634,6.55
671_Pop_music.wav,0.343,0.431,0.761,-0.315,0.095,0.036,0.419,0.101,19.579,18.373,16.669,18.413,21.858,21.093,31.8,6.401,4.532,4.504,4.985,4.659,4.614,1.939,20.23,71.047,13.601,21.235,6.832,7.501,-10.867,-3.108,-5.541,1.174,-10.538,-6.776,-12.146,-2.786,-10.513,-4.127,-14.665,-6.828,-11.123,-6.135,55.458,15.342,16.716,8.346,8.317,9.529,8.496,7.953,6.368,6.808,7.735,5.841,7.45,5.781,6.107,5.753,7.35,8.401,7.116,6.894
671_Pop_music.wav,0.343,0.431,0.761,-0.315,0.095,0.036,0.419,0.101,19.579,18.373,16.669,18.413,21.858,21.093,31.8,6.401,4.532,4.504,4.985,4.659,4.614,1.939,20.23,71.047,13.601,21.235,6.832,7.501,-10.867,-3.108,-5.541,1.174,-10.538,-6.776,-12.146,-2.786,-10.513,-4.127,-14.665,-6.828,-11.123,-6.135,55.458,15.342,16.716,8.346,8.317,9.529,8.496,7.953,6.368,6.808,7.735,5.841,7.45,5.781,6.107,5.753,7.35,8.401,7.116,6.894
