url,start_time,end_time,class_label
-1Pw5NDwncY, 30.000, 40.000,Techno
-1Q72rwQ5MM, 100.000, 110.000,Pop_music
-1QjgG7-ulU, 30.000, 40.000,Pop_music
-1RnrnNdVbU, 260.000, 270.000,Hip_hop_music
-1WMaP9dhnI, 30.000, 40.000,Techno
-1Yh36mf8fg, 80.000, 90.000,Techno
-1ZpO5KFmXE, 40.000, 50.000,Vocal
-1bV8cYiep8, 30.000, 40.000,Pop_music
-1frRwrP7Jw, 150.000, 160.000,Pop_music
-1gdlct8TfE, 210.000, 220.000,Pop_music
-1hh1cUANXU, 60.000, 70.000,Rock_music
-1m9SbBzl9w, 30.000, 40.000,Rhythm_blues
-1ou2LGzoq8, 30.000, 40.000,Rhythm_blues
-1s2ecnv7SA, 30.000, 40.000,Pop_music
-1tNcViX51g, 30.000, 40.000,Pop_music
-1vwY6f_qb0, 30.000, 40.000,Techno
-1xXADXCgvM, 110.000, 120.000,Vocal
-23ieUoilLs, 30.000, 40.000,Rhythm_blues
-29aLmCJBqQ, 30.000, 40.000,Rhythm_blues
-2BQTo2b41Q, 30.000, 40.000,Rhythm_blues
-2LwQb7oWv4, 60.000, 70.000,Rhythm_blues
-2SOeI9iT1I, 30.000, 40.000,Rhythm_blues
-2cxq1Sx2FA, 30.000, 40.000,Rhythm_blues
-2ffF7rQruw, 120.000, 130.000,Techno
-2ftifqe8D4, 30.000, 40.000,Rhythm_blues
-2o4OwbKA28, 30.000, 40.000,Pop_music
-2qN_WMJhPI, 30.000, 40.000,Vocal
-2srFddiiC4, 30.000, 40.000,Pop_music
-2vuXkwvUhM, 30.000, 40.000,Techno
-2we1Q-V1Ss, 30.000, 40.000,Rhythm_blues
-2whPMVQnSU, 30.000, 40.000,Rhythm_blues
-2zQKbne3Fo, 80.000, 90.000,Techno
-2zcq-oUhQ4, 200.000, 210.000,Hip_hop_music
-34nAWhAdTg, 30.000, 40.000,Techno
-37eHkUnjZk, 30.000, 40.000,Rhythm_blues
-38j5hw2gnk, 120.000, 130.000,Rock_music
-3AMvfsfSA4, 30.000, 40.000,Techno
-3DiYZ-vEjQ, 0.000, 10.000,Hip_hop_music
-3FSFxsVhJA, 30.000, 40.000,Pop_music
-3FY6gyb1BY, 30.000, 40.000,Pop_music
-3MMej_yVcE, 20.000, 30.000,Pop_music
-3MjCgmfghk, 0.000, 9.000,Pop_music
-3Mu1co4beI, 30.000, 40.000,Pop_music
-3PdRzNH9kg, 260.000, 270.000,Rhythm_blues
-3QvsKlR94c, 200.000, 210.000,Techno
-3RHu1ceP2M, 30.000, 40.000,Pop_music
-3U541s_P6g, 30.000, 40.000,Techno
-3UYPmVW3vk, 40.000, 50.000,Rhythm_blues
-3VqB2hpiyo, 30.000, 40.000,Techno
-3X5VA8F998, 160.000, 170.000,Hip_hop_music
-3cCdNVSvAo, 30.000, 40.000,Techno
-3dx1MH0Wbo, 120.000, 130.000,Hip_hop_music
-3eWvHMp_78, 60.000, 70.000,Reggae
-3exq5GotlA, 30.000, 40.000,Rock_music
-3fxNYxJHtw, 5.000, 15.000,Pop_music
-3gUw0vGA5M, 0.000, 10.000,Techno
-3h_S7n8x5w, 100.000, 110.000,Rock_music
-3qAwWw8P50, 30.000, 40.000,Pop_music
-3qGCm_qUwU, 50.000, 60.000,Hip_hop_music
-3s2VRVs7nk, 30.000, 40.000,Rhythm_blues
-3tSagKKPrw, 30.000, 40.000,Vocal
-3uiGEpypAI, 40.000, 50.000,Hip_hop_music
-3waqLAHXSo, 170.000, 180.000,Vocal
-4-4_jKRGhA, 30.000, 40.000,Techno
-41ve90rks8, 30.000, 40.000,Techno
-422QB4CzHw, 30.000, 40.000,Techno
-4BAqUF8LFQ, 30.000, 40.000,Rhythm_blues
-4E1zFkq5EE, 30.000, 40.000,Pop_music
-4J-A-HWR1k, 20.000, 30.000,Rock_music
-4JYoG2Zbyo, 30.000, 40.000,Rhythm_blues
-4M2jTcVUFU, 30.000, 40.000,Rhythm_blues
-4NzR6YZ4b4, 540.000, 550.000,Pop_music
-4SAOxykpNg, 10.000, 20.000,Techno
-4WJRWh02PE, 200.000, 210.000,Rock_music
-4WaJcLICmQ, 220.000, 230.000,Vocal
-4ZxF-CgrqM, 30.000, 40.000,Techno
-4c5JDM1BLQ, 30.000, 40.000,Rhythm_blues
-4oH2Nk3FSU, 60.000, 70.000,Hip_hop_music
-4qCHBL19Dk, 320.000, 330.000,Techno
-4qTWBHmWlA, 30.000, 40.000,Techno
-4qb0bxeL7M, 30.000, 40.000,Rhythm_blues
-4sSSYzi4q0, 110.000, 120.000,Hip_hop_music
-4xAURtNF2I, 30.000, 40.000,Techno
-4xP-ZF1u_I, 30.000, 40.000,Pop_music
-52bjgE5EEc, 30.000, 40.000,Rhythm_blues
-54h8xwM0Q4, 30.000, 40.000,Rock_music
-56Ynl0W5J4, 30.000, 40.000,Techno
-58k6MFP1qU, 40.000, 50.000,Rock_music
-5HSR5eWEDU, 160.000, 170.000,Rock_music
-5HdiCWqsdI, 20.000, 30.000,Pop_music
-5JCaP30lPI, 40.000, 50.000,Hip_hop_music
-5KPeudJyhk, 300.000, 310.000,Rock_music
-5LXsxnoL0g, 30.000, 40.000,Pop_music
-5QyuVhISlw, 30.000, 40.000,Techno
-5Xbb4dkHiE, 30.000, 40.000,Techno
-5_XUcgrytU, 370.000, 380.000,Techno
-5fz-NoIhlE, 120.000, 130.000,Vocal
-5gQNGCFpPc, 30.000, 40.000,Rock_music
-5nsZmUpx8M, 30.000, 40.000,Pop_music
-5oi4-HWuwY, 130.000, 140.000,Hip_hop_music
-5pnFVhiCjg, 30.000, 40.000,Techno
-5v5zv0G0Jw, 30.000, 40.000,Rock_music
-5xGuHVEZyk, 30.000, 40.000,Techno
-5xracPgNgA, 30.000, 40.000,Rhythm_blues
-5zbl_UwZ0c, 30.000, 40.000,Pop_music
-60-o-PZ-tE, 30.000, 40.000,Hip_hop_music
-65Ee58UCQw, 160.000, 170.000,Rock_music
-6ATcdZRNOc, 230.000, 240.000,Rock_music
-6EjqGUHuzo, 30.000, 40.000,Techno
-6JIePD1AoM, 30.000, 40.000,Techno
-6JQpIEO4x4, 30.000, 40.000,Pop_music
-6Lwr8_zeiM, 30.000, 40.000,Pop_music
-6OEmK1Sg-I, 30.000, 40.000,Rhythm_blues
-6PHTNJw86o, 30.000, 40.000,Rhythm_blues
-6S69SVXie4, 30.000, 40.000,Rhythm_blues
-6WDDB5UQp0, 30.000, 40.000,Pop_music
-6YmLBwZXks, 30.000, 40.000,Pop_music
-6Z4PBJ4Oe4, 60.000, 70.000,Reggae
-6_-7sLO5F8, 30.000, 40.000,Rhythm_blues
-6evg6oUgsI, 30.000, 40.000,Rhythm_blues
-6itobOGqPg, 30.000, 40.000,Rhythm_blues
-6jwBiRsWP0, 30.000, 40.000,Rhythm_blues
-6nQsu36yF4, 30.000, 40.000,Techno
-6oHqFczCBA, 10.000, 20.000,Rock_music
-6rbSDlzFOI, 30.000, 40.000,Techno
-6uc3dxoyN0, 110.000, 120.000,Pop_music
-6yY97K4kUw, 30.000, 40.000,Pop_music
-7-UUawmmEs, 30.000, 40.000,Rhythm_blues
-7-irKl-5Qg, 70.000, 80.000,Techno
-70yM5-fa-Y, 30.000, 40.000,Pop_music
-72MVD6fzps, 30.000, 40.000,Techno
-77ZTiiGLHM, 50.000, 60.000,Rock_music
-79EG2oS_YA, 30.000, 40.000,Techno
-7EhkVqESf4, 200.000, 210.000,Rock_music
-7GaxzBXd-U, 30.000, 40.000,Rhythm_blues
-7Ij9rwSyw8, 30.000, 40.000,Pop_music
-7Lg3GfhsRg, 0.000, 10.000,Rock_music
-7M-7HBMGAs, 30.000, 40.000,Rhythm_blues
-7MCAj4L-z8, 50.000, 60.000,Rhythm_blues
-7Mz1Ewl_Rs, 30.000, 40.000,Rhythm_blues
-7Qs87VXMzI, 0.000, 10.000,Reggae
-7QwO5Okm3E, 30.000, 40.000,Pop_music
-7UJFopjxxc, 30.000, 40.000,Pop_music
-7UOo6lidIo, 200.000, 210.000,Rock_music
-7Y8bkwVyxc, 130.000, 140.000,Pop_music
-7ZYXkC_Ess, 30.000, 40.000,Vocal
-7_3u7NZ3Hc, 30.000, 40.000,Rhythm_blues
-7aGbP7Qmjo, 30.000, 40.000,Techno
-7dRzvjW7c4, 30.000, 40.000,Pop_music
-7dwpCR9Fjg, 30.000, 40.000,Rhythm_blues
-7eTDXwsxjE, 30.000, 40.000,Pop_music
-7jaUlmrU9Y, 30.000, 40.000,Rhythm_blues
-7kw4-itWBs, 30.000, 40.000,Rhythm_blues
-7rEQyZCoxw, 30.000, 40.000,Techno
-7uUrlhxRjk, 30.000, 40.000,Pop_music
-7uwdUG6xkQ, 30.000, 40.000,Pop_music
-7xi77-Oh9Q, 60.000, 70.000,Rhythm_blues
-7zOC96Og98, 30.000, 40.000,Techno
-813GxG0Mqg, 50.000, 60.000,Hip_hop_music
-82J4h-dRac, 30.000, 40.000,Techno
-82OBRkQskQ, 10.000, 20.000,Rock_music
-85HvHf5h18, 30.000, 40.000,Rhythm_blues
-85c-agDGg4, 30.000, 40.000,Rhythm_blues
-87Qfw8Wq8k, 30.000, 40.000,Techno
-889T9LFYYM, 30.000, 40.000,Rhythm_blues
-8AVRtVQh0Q, 30.000, 40.000,Pop_music
-8FNA_7vyvw, 130.000, 140.000,Rock_music
-8MzzX-QIig, 30.000, 40.000,Pop_music
-8NYEZ5AXuk, 170.000, 180.000,Pop_music
-8UqD0e8t00, 120.000, 130.000,Hip_hop_music
-8XSCak63l8, 240.000, 250.000,Pop_music
-8eeC67qbes, 40.000, 50.000,Hip_hop_music
-8hhFe6_RV8, 30.000, 40.000,Rhythm_blues
-8k7UKKjE8k, 30.000, 40.000,Pop_music
-8rEfdFSbL4, 30.000, 40.000,Rhythm_blues
-8sGXhz72qI, 30.000, 40.000,Techno
-8vr6YYNRts, 20.000, 30.000,Vocal
-8xNUwDjOgA, 30.000, 40.000,Pop_music
-8ymaC7O9Zc, 30.000, 40.000,Techno
-900YihiaMA, 30.000, 40.000,Techno
-91sZXtTFCY, 30.000, 40.000,Pop_music
-94eoWhvGLA, 30.000, 40.000,Techno
-95lyFpwEJ0, 30.000, 40.000,Techno
-96nUVbDiXU, 100.000, 110.000,Techno
-98S3LOOLxo, 30.000, 40.000,Vocal
-994dq7xz9c, 30.000, 40.000,Techno
-99VOr2lqxM, 30.000, 40.000,Techno
-9AVPux4_Ug, 70.000, 80.000,Vocal
-9DpE-il6VI, 30.000, 40.000,Rhythm_blues
-9NxIgBSNcI, 5.000, 15.000,Pop_music
-9PNAlhK8kk, 30.000, 40.000,Hip_hop_music
-9TUYbWwtls, 30.000, 40.000,Rock_music
-9Y076KDt2w, 80.000, 90.000,Rock_music
-9YOGaUxjo8, 30.000, 40.000,Techno
-9dI2yJLCho, 30.000, 40.000,Techno
-9eZ4M7WAjA, 270.000, 280.000,Hip_hop_music
-9l7y6qYtEs, 30.000, 40.000,Rhythm_blues
-9lkWQS8Y0I, 90.000, 100.000,Hip_hop_music
-9p8wzm-61Q, 370.000, 380.000,Rock_music
-9pU0V_cyro, 17.000, 27.000,Techno
-9plQfb92A4, 90.000, 100.000,Vocal
-9tdnWfKLXw, 30.000, 40.000,Rhythm_blues
-A1K7CLvyMY, 30.000, 40.000,Rhythm_blues
-A7aeq5Nj9c, 70.000, 80.000,Rock_music
-A94Rv7YeOo, 30.000, 40.000,Pop_music
-AAtN9lWHjk, 30.000, 40.000,Techno
-ABDAz1Vqls, 30.000, 40.000,Techno
-AD5HvOukME, 0.000, 10.000,Hip_hop_music
-AFo0Dstp2k, 30.000, 40.000,Techno
-AKKS9lJGXs, 4.000, 14.000,Techno
-ALKa1FVUrU, 30.000, 40.000,Techno
-AMMMmcvUW4, 30.000, 40.000,Techno
-AMXLerpbmE, 30.000, 40.000,Techno
-AO1FeO3fgw, 30.000, 40.000,Pop_music
-AOdQvPCQv0, 30.000, 40.000,Rhythm_blues
-ASgI-i2tf8, 30.000, 40.000,Hip_hop_music
-ATAQ4acxMk, 410.000, 420.000,Rock_music
-AVvs0W_o8g, 30.000, 40.000,Pop_music
-AXZvyj4iLU, 30.000, 40.000,Techno
-AZNTBlAt9Y, 210.000, 220.000,Techno
-Aahz94dzHE, 270.000, 280.000,Pop_music
-AgmiF7ct9c, 30.000, 40.000,Rhythm_blues
-AgqxTr6Eks, 30.000, 40.000,Techno
-Aqt3e9aWtQ, 230.000, 240.000,Rock_music
-Ar4UdTmBfg, 30.000, 40.000,Pop_music
-Atr3TPwGbc, 21.000, 31.000,Rhythm_blues
-Au2qXCWA-4, 30.000, 40.000,Rhythm_blues
-Ay4vZx_M9o, 70.000, 80.000,Reggae
-B1mKKhLRFM, 70.000, 80.000,Rock_music
-B6qqoTAADw, 30.000, 40.000,Pop_music
-BDOpLAtV2g, 30.000, 40.000,Techno
-BE8_84eWDM, 30.000, 40.000,Vocal
-BEJdvmU2IY, 50.000, 60.000,Vocal
-BEh8GrocD4, 190.000, 200.000,Hip_hop_music
-BIDug9-30w, 80.000, 90.000,Rock_music
-BJ7vuWSzU8, 30.000, 40.000,Techno
-BM1O996r98, 30.000, 40.000,Pop_music
-BM9b0aeDc0, 10.000, 20.000,Vocal
-BVaN6Y6HWM, 30.000, 40.000,Pop_music
-BWAJyKFvD4, 30.000, 40.000,Rhythm_blues
-BX0RVCxFUw, 30.000, 40.000,Techno
-BXSh_Y1gtw, 30.000, 40.000,Rhythm_blues
-Bb25Fe-kyk, 30.000, 40.000,Techno
-BeIEtg1P7U, 30.000, 40.000,Pop_music
-Bf2HPKnCzM, 30.000, 40.000,Techno
-Bh5byHnqbk, 30.000, 40.000,Rhythm_blues
-BjXMtLC5s0, 80.000, 90.000,Rock_music
-BqubqYQ_gw, 30.000, 40.000,Techno
-Bu2ZFi7sEU, 70.000, 80.000,Vocal
-BuYIT49SXc, 80.000, 90.000,Techno
-BxvYeIf2ZY, 410.000, 420.000,Rock_music
-C-o9D_ARxE, 30.000, 40.000,Pop_music
-C1ot3gZWzI, 30.000, 40.000,Techno
-C7uzYYG-0k, 30.000, 40.000,Pop_music
-C8cq2MJ69c, 30.000, 40.000,Techno
-CFGsN71PBg, 30.000, 40.000,Techno
-CKA1NcEWZM, 120.000, 130.000,Hip_hop_music
-CKAhqwOacs, 30.000, 40.000,Techno
-CKa-wIGrCo, 0.000, 10.000,Hip_hop_music
-COJGXJnT78, 0.000, 10.000,Hip_hop_music
-CSh7cIbqEA, 30.000, 40.000,Techno
-CTeEl23nII, 30.000, 40.000,Pop_music
-CYetVKQVgU, 18.000, 28.000,Techno
-CdCj8UrJvs, 30.000, 40.000,Rhythm_blues
-CfEApMA4MA, 30.000, 40.000,Techno
-CoZICQbBv0, 30.000, 40.000,Rhythm_blues
-Cp7Pd7vo1Q, 140.000, 150.000,Pop_music
-Cq28zgyLqs, 30.000, 40.000,Techno
-CuKM5-u1rU, 90.000, 100.000,Hip_hop_music
-CyjOa9dVIc, 130.000, 140.000,Hip_hop_music
-D-itHUf9MQ, 30.000, 40.000,Rhythm_blues
-D6hyqfJCMU, 30.000, 40.000,Pop_music
-D7mxSpQoRo, 30.000, 40.000,Techno
-D7y9TX8PQQ, 30.000, 40.000,Pop_music
-DIlFVbtW1s, 60.000, 70.000,Rock_music
-DLvRyjYk68, 30.000, 40.000,Pop_music
-DM9qkRz6wc, 29.000, 39.000,Rhythm_blues
-DPdbMyrYfE, 30.000, 40.000,Rhythm_blues
-DQcoLsH7AU, 20.000, 30.000,Hip_hop_music
-DSqtav-07Y, 2.000, 12.000,Pop_music
-DTGCmHMmPY, 170.000, 180.000,Hip_hop_music
-D_qrhuz76w, 30.000, 40.000,Techno
-DiMihR3-Hg, 0.000, 10.000,Pop_music
-DiX60ugYNU, 30.000, 40.000,Pop_music
-DohMN5ttPU, 30.000, 40.000,Techno
-DrNBtKbQmg, 30.000, 40.000,Techno
-DtgT7SUds4, 30.000, 40.000,Techno
-DxK1kz6QW8, 30.000, 40.000,Techno
-E-a_pZms1I, 340.000, 350.000,Techno
-E0udscby4Y, 30.000, 40.000,Techno
-E2aoMkUNPk, 0.000, 10.000,Pop_music
-E4z8AIF9Zk, 220.000, 230.000,Rock_music
-EAOKDazXGQ, 30.000, 40.000,Rhythm_blues
-ECnVra2qjI, 30.000, 40.000,Pop_music
-EHkvv4PONk, 30.000, 40.000,Pop_music
-EIzxNM7f-A, 30.000, 40.000,Techno
-EKh7cOp45E, 30.000, 40.000,Pop_music
-EOAT8AkbEY, 30.000, 40.000,Techno
-ERbIWIZ9C8, 30.000, 40.000,Rhythm_blues
-ERfoQNPbto, 10.000, 20.000,Pop_music
-ET2k72J6xo, 30.000, 40.000,Techno
-E_LbFUqT6s, 20.000, 30.000,Techno
-En4ILfl00s, 30.000, 40.000,Techno
-Es8CCmDJvs, 220.000, 230.000,Hip_hop_music
-EvMJiUtmnA, 30.000, 40.000,Techno
-EvUz3M-2HU, 130.000, 140.000,Rock_music
-EzAjm9PYZA, 30.000, 40.000,Pop_music
-Ezebdmle1Q, 390.000, 400.000,Techno
-F-2a-2nkHM, 30.000, 40.000,Rhythm_blues
-F1xbVsOIaU, 30.000, 40.000,Rhythm_blues
-F2LdTauKjQ, 30.000, 40.000,Techno
-FAqZRwU8Us, 260.000, 270.000,Rhythm_blues
-FCQxFBNl14, 30.000, 40.000,Techno
-FJag1NXZbE, 140.000, 150.000,Rock_music
-FLirUAM0Jw, 20.000, 30.000,Pop_music
-FOzr1BG4Ko, 30.000, 40.000,Pop_music
-FP5Ig_a-T0, 30.000, 40.000,Rhythm_blues
-FPOpqZXqLk, 30.000, 40.000,Rhythm_blues
-FUH1TBGLbM, 30.000, 40.000,Techno
-FW9Q2LQ_Qw, 30.000, 40.000,Pop_music
-FWukERhOQA, 130.000, 140.000,Pop_music
-FXIpbWJgVc, 20.000, 30.000,Hip_hop_music
-FXrkIOpEeY, 70.000, 80.000,Hip_hop_music
-FY0nC3beqw, 300.000, 310.000,Rock_music
-FY7bRIs1nk, 30.000, 40.000,Pop_music
-FbORHX6Msk, 60.000, 70.000,Vocal
-FbdlFNAeRk, 30.000, 40.000,Pop_music
-Fj-iOgWB4A, 30.000, 40.000,Pop_music
-FkuQ2miN-4, 30.000, 40.000,Pop_music
-FoClxkytjM, 30.000, 40.000,Vocal
-FobAvObwA4, 30.000, 40.000,Pop_music
-FsFazD-wBc, 50.000, 60.000,Rock_music
-FyHkJUTvos, 30.000, 40.000,Techno
-FzuETN-QO4, 30.000, 40.000,Techno
-G-ALtUfk6w, 150.000, 160.000,Vocal
-G0VnkamUDg, 30.000, 40.000,Rhythm_blues
-G1LFeP7Jno, 190.000, 200.000,Techno
-G2L5YEKC7o, 510.000, 520.000,Rock_music
-G4vSBdh4HE, 30.000, 40.000,Pop_music
-GBXr6hvgfw, 30.000, 40.000,Pop_music
-GGaS1Zm_p0, 30.000, 40.000,Pop_music
-GKqKJ8rNcw, 30.000, 40.000,Vocal
-GL28r-2-zc, 30.000, 40.000,Techno
-GMsFY_p4o8, 190.000, 200.000,Hip_hop_music
-GMyMBBbGyg, 30.000, 40.000,Pop_music
-GWtN0u7e6Q, 50.000, 60.000,Hip_hop_music
-GXL5IF9o0g, 30.000, 40.000,Pop_music
-GfWjs3xEIw, 130.000, 140.000,Reggae
-Gg_4WhI_aA, 30.000, 40.000,Pop_music
-GiAN6314oM, 30.000, 40.000,Rhythm_blues
-GjXkS8W7hA, 550.000, 560.000,Hip_hop_music
-GlJpTdgx2k, 30.000, 40.000,Techno
-GltWCvb2mU, 30.000, 40.000,Pop_music
-GxQl61CkNw, 90.000, 100.000,Pop_music
-H2Z1O2iQBo, 30.000, 40.000,Pop_music
-H2oQD_6Og4, 130.000, 140.000,Techno
-H7CMrA4jZA, 27.000, 37.000,Techno
-HD1BVuIncY, 30.000, 40.000,Pop_music
-HDxZ455knY, 30.000, 40.000,Rhythm_blues
-HI8A4u0R-U, 30.000, 40.000,Pop_music
-HJ9F8YyUyI, 30.000, 40.000,Vocal
-HKGa0eq2SY, 30.000, 40.000,Rhythm_blues
-HMBy7h-zkk, 30.000, 40.000,Pop_music
-HNuTT7mX2E, 30.000, 40.000,Rhythm_blues
-HQ4FbirXNU, 30.000, 40.000,Pop_music
-HUHV0LqmQI, 30.000, 40.000,Techno
-HUdfevHMhA, 30.000, 40.000,Pop_music
-HZ9BFoN5DQ, 280.000, 290.000,Rock_music
-HdspR3P2ik, 30.000, 40.000,Techno
-HfOEv7Qo0M, 240.000, 250.000,Techno
-HjXE7oz3fI, 30.000, 40.000,Vocal
-Hkyf2F76J0, 220.000, 230.000,Pop_music
-Hli-aCcOG8, 30.000, 40.000,Pop_music
-HqH1ndzkBQ, 30.000, 40.000,Techno
-Hwk2-aEvco, 30.000, 40.000,Pop_music
-HyTXdTZG4U, 19.000, 29.000,Hip_hop_music
-I0MkCWQrKg, 120.000, 130.000,Vocal
-I2IoiB6wOA, 30.000, 40.000,Reggae
-I6RiK0Njhk, 30.000, 40.000,Techno
-IBBS7VvJrA, 30.000, 40.000,Techno
-IFay55u1Ts, 30.000, 40.000,Techno
-ILksXp4XnE, 220.000, 230.000,Rock_music
-ILqDdnKsNA, 30.000, 40.000,Techno
-INPV-XA2U4, 70.000, 80.000,Rock_music
-INdwLMwg1I, 200.000, 210.000,Reggae
-IVCemVmOEM, 30.000, 40.000,Pop_music
-IYmoCh5WKA, 30.000, 40.000,Rhythm_blues
-IYt8ip9Wyw, 240.000, 250.000,Techno
-IdaRK6UaP0, 30.000, 40.000,Rhythm_blues
-Ii0bbk0bk4, 570.000, 580.000,Hip_hop_music
-Iklj4Hq-pQ, 30.000, 40.000,Rhythm_blues
-Ilz4UwoUW8, 200.000, 210.000,Rock_music
-Ipt-syK_ns, 30.000, 40.000,Techno
-IqJ_tL-gkk, 30.000, 40.000,Pop_music
-IqXjnMH0VU, 30.000, 40.000,Techno
-Iry8bqVH7U, 280.000, 290.000,Hip_hop_music
-ItBFYOLeEo, 30.000, 40.000,Rhythm_blues
-ItxMYddUyY, 90.000, 100.000,Hip_hop_music
-IvOc5m6ows, 30.000, 40.000,Techno
-Iwb6_7IZ-g, 30.000, 40.000,Pop_music
-IwlXgU2EoE, 30.000, 40.000,Rhythm_blues
-IxscSwvjwY, 30.000, 40.000,Techno
-IxugWsAxGw, 30.000, 40.000,Techno
-Izks2mifA0, 110.000, 120.000,Pop_music
-J2FmwhAONI, 80.000, 90.000,Rhythm_blues
-J5OJBO3mx8, 30.000, 40.000,Rhythm_blues
-J6y3svfois, 30.000, 40.000,Techno
-JEtjRRd_ig, 30.000, 40.000,Rhythm_blues
-JHOW9ExeT8, 30.000, 40.000,Pop_music
-JKMOJ32usA, 30.000, 40.000,Pop_music
-JKZGCFK67o, 22.000, 32.000,Techno
-Jfg8D-oXAw, 30.000, 40.000,Techno
-JmtIAsVsrg, 80.000, 90.000,Pop_music
-JpN8Vdswfo, 30.000, 40.000,Techno
-JqvV8yO03w, 30.000, 40.000,Rhythm_blues
-Jrn-VJQipg, 30.000, 40.000,Pop_music
-JzBdiZZpX0, 70.000, 80.000,Reggae
-K07Ynt8TuI, 20.000, 30.000,Pop_music
-K38ZB0eWgQ, 30.000, 40.000,Pop_music
-K5-rJglzYQ, 150.000, 160.000,Rock_music
-K7Rmpkb_TQ, 30.000, 40.000,Techno
-K8U1d7KBYM, 90.000, 100.000,Hip_hop_music
-KAT7oc5i_0, 30.000, 40.000,Techno
-KAhODcRoQI, 30.000, 40.000,Techno
-KAoDGE6BdI, 480.000, 490.000,Rhythm_blues
-KFZKVTiBsI, 30.000, 40.000,Pop_music
-KFl1-lbLPY, 30.000, 40.000,Techno
-KLqYyJJEmw, 30.000, 40.000,Rhythm_blues
-KLzOWbfDOo, 30.000, 40.000,Rhythm_blues
-KO9pQiU1_I, 30.000, 40.000,Pop_music
-KQDQS_k_z4, 30.000, 40.000,Pop_music
-KRUdm7WwYM, 30.000, 40.000,Rhythm_blues
-KTuWXHJEZc, 110.000, 120.000,Reggae
-KWOKMOsLgE, 30.000, 40.000,Techno
-KXR7xqSd9U, 30.000, 40.000,Techno
-KY-8E1S5PQ, 30.000, 40.000,Pop_music
-KZT45HQnSA, 120.000, 130.000,Rock_music
-K_0BqnZIPw, 30.000, 40.000,Rhythm_blues
-KdJub_URQ0, 30.000, 40.000,Rhythm_blues
-KeQ5ajX6TE, 30.000, 40.000,Techno
